Наименование;Цена;Наличие
Ноутбуки;;
Acer Aspire 7720G-702G50Hn C2D(SR)-T7700 2,4 ГГц / 17.0'' WUXGA / 2048Mb / 500Gb / GeForce 8600M GT-v512Mb / HD DVD-ROM / WiFi / VU (LX.ANS0U.008);46910 руб.;остатки
Acer Aspire 7720G-584G32Mi C2D-T5800 2,0 ГГц / 17.0'' WUXGA / 4096Mb / 320Gb / GeForce 9500M GS-v512Mb / DVD-RWx2 / WiFi / VHP (LX.AQ80X.678);31040 руб.;предзаказ
Acer Aspire 7720-583G25Mi C2D-T5800 2,0 ГГц / 17.0'' WXGA+ / 3072Mb / 250Gb / Intel GMA X3100-v358Mb / DVD-RWx2 / WiFi / VHB (LX.AML0Y.001);24590 руб.;есть
Acer eMaсhines eME725-423G16Mi P-M-2,0 ГГц / 15.6'' WXGA / 3072Mb / 160Gb / Intel GMA X4500-v64Mb / DVD-RWx2 / WiFi / VHB (LX.N700Y.002);19940 руб.;предзаказ
Acer eMaсhines eME725-423G25Mi P-M-2,0 ГГц / 15.6'' WXGA / 3072Mb / 250Gb / Intel GMA X4500-v64Mb / DVD-RWx2 / WiFi / VHP (LX.N720Y.002);21020 руб.;есть
Acer eMaсhines E725-423G25Mi P-M-2,0 ГГц / 15.6'' WXGA / 3072Mb / 250Gb / Intel GMA X4500-v64Mb / DVD-RWx2 / WiFi / VHP (LX.N280X.028);18730 руб.;есть
Acer Aspire 7535-643G25Mi A64X2-QL-64 2,1 ГГц / 17.3'' WXGA+ / 3072Mb / 250Gb / Radeon 3200-v256Mb / DVD-RW / WiFi / VHP (LX.PCF0X.028);25650 руб.;предзаказ
Acer Aspire 7535-743G32Mi TurX2-RM-74 2,2 ГГц / 17.3'' WXGA+ / 3072Mb / 320Gb / Radeon 3200-v256Mb / DVD-RW / WiFi / VHP (LX.PCF0X.073);26590 руб.;предзаказ
Acer Aspire 1410-722G25i Black Cel-723 1,2 ГГц / 11.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500HD-v256Mb / noCDROM / WiFi / VB (LX.SA70X.033);19270 руб.;предзаказ
Acer Aspire 1410-722G25i Red Cel-723 1,2 ГГц / 11.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500HD-v256Mb / noCDROM / WiFi / VB (LX.SAB0X.045);19270 руб.;предзаказ
Acer Aspire 1410-722G25i Blue Cel-723 1,2 ГГц / 11.6'' WXGA / 2048Mb / 250Gb / Intel GMA X4500HD-v256Mb / noCDROM / WiFi / VB (LX.SA90X.035);19270 руб.;предзаказ
Acer Extensa 4230-902G16Mi Cel-900 2,2 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / VHB (LX.EBE0Y.226);16890 руб.;есть
Acer Extensa 4230-901G16Mi Cel-900 2,2 ГГц / 14.1'' WXGA / 1024Mb / 160Gb / Intel GMA X4500-v256Mb / DVD-RWx2 / WiFi / Linux (LX.EBE0F.074);15190 руб.;есть
Acer eMaсhines G520-572G16Mi Cel-2,0 ГГц / 17.4'' WXGA / 2048Mb / 160Gb / Intel GMA X3100-v252Mb / DVD-RWx2 / WiFi / VHB (LX.N140Y.061);20710 руб.;предзаказ
Acer Aspire 5739G-754G32Mi C2D-P7550 2,26 ГГц / 15.6'' WXGA / 4096Mb / 320Gb / NVIDIA® GeForce™ GT 240M-v1024Mb / DVD-RW / WiFi / VHP (LX.PHC0X.046);36565 руб.;есть
Acer Aspire 5739G-654G32Mi C2D-T6500 2,1 ГГц / 15.6'' WXGA / 4096Mb / 320Gb / NVIDIA® GeForce™ G210M-v512Mb / DVD-RW / WiFi / VHP (LX.PHC0X.047);31340 руб.;предзаказ
Acer Aspire 5739G-753G25Mi C2D-P7550 2,26 ГГц / 15.6'' WXGA / 3072Mb / 250Gb / NVIDIA® GeForce™ GT 240M-v1024Mb / DVD-RW / WiFi / VHP (LX.PH60X.047);34190 руб.;предзаказ
Acer Aspire 5739G-874G50Mi C2D-P8700 2,53 ГГц / 15.6'' WXGA / 4096Mb / 500Gb / NVIDIA® GeForce™ GT 240M-v1024Mb / DVD-RW / WiFi / VHP (LX.PH60X.046);39890 руб.;предзаказ
Acer Aspire 5739G-754G32Mi C2D-P7550 2,26 ГГц / 15.6'' WXGA / 4096Mb / 320Gb / Radeon® HD 4570-v512Mb / DVD-RW / WiFi / VHP (LX.PDS0X.017);36080 руб.;предзаказ
